competitor,tier,platform,region,sku_type,sku_name,hc_amount,bonus_amount,bonus_pct,price_local,currency_code,price_usd,effective_usd_per_hc,discount_vs_base,monetisation_philosophy,source_url,capture_date,confidence
F1 24 (EA/Codemasters),3,steam,us,hc_pack,"F1 24: 2,000 PitCoin",2000,0,0,1.99,USD,1.99,0.000995,0,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=us,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,us,hc_pack,"F1 24: 5,000 PitCoin",5000,0,0,4.19,USD,4.19,0.000838,0.1578,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=us,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,us,hc_pack,"F1 24: 11,000 PitCoin",11000,0,0,8.99,USD,8.99,0.000817,0.1789,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=us,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,us,hc_pack,"F1 24: 24,000 PitCoin",24000,0,0,18.99,USD,18.99,0.000791,0.205,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=us,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,us,hc_pack,"F1 24: 50,000 PitCoin",50000,0,0,34.99,USD,34.99,0.0007,0.2965,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=us,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,gb,hc_pack,"F1 24: 2,000 PitCoin",2000,0,0,1.89,GBP,2.5326,0.001266,0,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=gb,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,gb,hc_pack,"F1 24: 5,000 PitCoin",5000,0,0,3.79,GBP,5.0786,0.001016,0.1975,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=gb,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,gb,hc_pack,"F1 24: 11,000 PitCoin",11000,0,0,7.89,GBP,10.5726,0.000961,0.2409,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=gb,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,gb,hc_pack,"F1 24: 24,000 PitCoin",24000,0,0,16.99,GBP,22.7666,0.000949,0.2504,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=gb,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,gb,hc_pack,"F1 24: 50,000 PitCoin",50000,0,0,31.39,GBP,42.0626,0.000841,0.3357,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=gb,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,br,hc_pack,"F1 24: 2,000 PitCoin",2000,0,0,12,BRL,2.16,0.00108,0,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=br,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,br,hc_pack,"F1 24: 5,000 PitCoin",5000,0,0,23.9,BRL,4.302,0.00086,0.2037,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=br,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,br,hc_pack,"F1 24: 11,000 PitCoin",11000,0,0,48.9,BRL,8.802,0.0008,0.2593,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=br,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,br,hc_pack,"F1 24: 24,000 PitCoin",24000,0,0,102.9,BRL,18.522,0.000772,0.2852,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=br,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,br,hc_pack,"F1 24: 50,000 PitCoin",50000,0,0,186.9,BRL,33.642,0.000673,0.3769,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=br,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,mx,hc_pack,"F1 24: 2,000 PitCoin",2000,0,0,59,MXN,3.54,0.00177,0,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=mx,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,mx,hc_pack,"F1 24: 5,000 PitCoin",5000,0,0,99,MXN,5.94,0.001188,0.3288,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=mx,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,mx,hc_pack,"F1 24: 11,000 PitCoin",11000,0,0,179,MXN,10.74,0.000976,0.4486,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=mx,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,mx,hc_pack,"F1 24: 24,000 PitCoin",24000,0,0,379,MXN,22.74,0.000947,0.465,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=mx,2026-04-21T03:43:00Z,primary
F1 24 (EA/Codemasters),3,steam,mx,hc_pack,"F1 24: 50,000 PitCoin",50000,0,0,699,MXN,41.94,0.000839,0.526,cosmetic_plus_progression,https://store.steampowered.com/api/appdetails?appids=2488620&cc=mx,2026-04-21T03:43:00Z,primary
